spec,error,class,className,method
CipherSpec,"Second parameter was not properly generated as generated Key. RequiredPredicateError violating CrySL rule for javax.crypto.Cipher.",org.cryptoapi.bench.brokencrypto.BrokenCryptoABICase11,BrokenCryptoABICase11,method1
CipherSpec,"Second parameter was not properly generated as generated Key. RequiredPredicateError violating CrySL rule for javax.crypto.Cipher.",org.cryptoapi.bench.brokencrypto.BrokenCryptoABMC3,BrokenCryptoABMC3,go
CipherSpec,"First parameter (with value 'RC4') should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256}. ConstraintError violating CrySL rule for javax.crypto.Cipher.",org.cryptoapi.bench.brokencrypto.BrokenCryptoABMC3,BrokenCryptoABMC3,go
KeyGeneratorSpec,"First parameter (with value 'RC4') should be any of {AES, HmacSHA256, HmacSHA384, HmacSHA512}. ConstraintError violating CrySL rule for javax.crypto.KeyGenerator.",org.cryptoapi.bench.brokencrypto.BrokenCryptoABMC3,BrokenCryptoABMC3,go
CipherSpec,"First parameter (with value 'RC4') should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256}. ConstraintError violating CrySL rule for javax.crypto.Cipher.",org.cryptoapi.bench.brokencrypto.BrokenCryptoABPSCase3,BrokenCryptoABPSCase3,go
CipherSpec,"Second parameter was not properly generated as generated Key. RequiredPredicateError violating CrySL rule for javax.crypto.Cipher.",org.cryptoapi.bench.brokencrypto.BrokenCryptoABPSCase3,BrokenCryptoABPSCase3,go
CipherSpec,"Unexpected call to method doFinal on object of type javax.crypto.Cipher. Expect a call to one of the following methods init,updateAAD. TypestateError violating CrySL rule for javax.crypto.Cipher.",org.cryptoapi.bench.brokencrypto.Crypto2,Crypto2,encrypt
CipherSpec,"First parameter (with value 'AES/ECB/PKCS5Padding') should be any of AES/{CBC, CCM, GCM, PCBC, CTR, CTS, CFB, OFB}. ConstraintError violating CrySL rule for javax.crypto.Cipher.",org.cryptoapi.bench.brokencrypto.Crypto2,Crypto2,encrypt
CipherSpec,"First parameter (with value 'RC2') should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256}. ConstraintError violating CrySL rule for javax.crypto.Cipher.",org.cryptoapi.bench.brokencrypto.BrokenCryptoABMC4,BrokenCryptoABMC4,go
CipherSpec,"Second parameter was not properly generated as generated Key. RequiredPredicateError violating CrySL rule for javax.crypto.Cipher.",org.cryptoapi.bench.brokencrypto.BrokenCryptoABMC4,BrokenCryptoABMC4,go
KeyGeneratorSpec,"First parameter (with value 'RC2') should be any of {AES, HmacSHA256, HmacSHA384, HmacSHA512}. ConstraintError violating CrySL rule for javax.crypto.KeyGenerator.",org.cryptoapi.bench.brokencrypto.BrokenCryptoABMC4,BrokenCryptoABMC4,go
CipherSpec,"First parameter (with value 'RC2') should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256}. ConstraintError violating CrySL rule for javax.crypto.Cipher.",org.cryptoapi.bench.brokencrypto.BrokenCryptoABICase14,BrokenCryptoABICase14,method1
KeyGeneratorSpec,"First parameter (with value 'RC2') should be any of {AES, HmacSHA256, HmacSHA384, HmacSHA512}. ConstraintError violating CrySL rule for javax.crypto.KeyGenerator.",org.cryptoapi.bench.brokencrypto.BrokenCryptoABICase14,BrokenCryptoABICase14,method1
CipherSpec,"Second parameter was not properly generated as generated Key. RequiredPredicateError violating CrySL rule for javax.crypto.Cipher.",org.cryptoapi.bench.brokencrypto.BrokenCryptoABICase14,BrokenCryptoABICase14,method1
CipherSpec,"First parameter (with value 'DES/ECB/PKCS5Padding') should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256}. ConstraintError violating CrySL rule for javax.crypto.Cipher.",org.cryptoapi.bench.brokencrypto.BrokenCryptoABPSCase1,BrokenCryptoABPSCase1,go
CipherSpec,"Second parameter was not properly generated as generated Key. RequiredPredicateError violating CrySL rule for javax.crypto.Cipher.",org.cryptoapi.bench.brokencrypto.BrokenCryptoABPSCase1,BrokenCryptoABPSCase1,go
CipherSpec,"First parameter (with value 'DES') should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256}. ConstraintError violating CrySL rule for javax.crypto.Cipher.",org.cryptoapi.bench.brokencrypto.BrokenCryptoABPSCase5,BrokenCryptoABPSCase5,go
CipherSpec,"Second parameter was not properly generated as generated Key. RequiredPredicateError violating CrySL rule for javax.crypto.Cipher.",org.cryptoapi.bench.brokencrypto.BrokenCryptoABPSCase5,BrokenCryptoABPSCase5,go
CipherSpec,"First parameter (with value 'RC4') should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256}. ConstraintError violating CrySL rule for javax.crypto.Cipher.",org.cryptoapi.bench.brokencrypto.Crypto4,Crypto4,encrypt
KeyGeneratorSpec,"First parameter (with value 'RC4') should be any of {AES, HmacSHA256, HmacSHA384, HmacSHA512}. ConstraintError violating CrySL rule for javax.crypto.KeyGenerator.",org.cryptoapi.bench.brokencrypto.Crypto4,Crypto4,encrypt
CipherSpec,"Unexpected call to method doFinal on object of type javax.crypto.Cipher. Expect a call to one of the following methods init,updateAAD. TypestateError violating CrySL rule for javax.crypto.Cipher.",org.cryptoapi.bench.brokencrypto.Crypto4,Crypto4,encrypt
CipherSpec,"Second parameter was not properly generated as generated Key. RequiredPredicateError violating CrySL rule for javax.crypto.Cipher.",org.cryptoapi.bench.brokencrypto.Crypto4,Crypto4,encrypt
CipherSpec,"First parameter (with value 'Blowfish') should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256}. ConstraintError violating CrySL rule for javax.crypto.Cipher.",org.cryptoapi.bench.brokencrypto.BrokenCryptoABMC2,BrokenCryptoABMC2,go
KeyGeneratorSpec,"First parameter (with value 'Blowfish') should be any of {AES, HmacSHA256, HmacSHA384, HmacSHA512}. ConstraintError violating CrySL rule for javax.crypto.KeyGenerator.",org.cryptoapi.bench.brokencrypto.BrokenCryptoABMC2,BrokenCryptoABMC2,go
CipherSpec,"Second parameter was not properly generated as generated Key. RequiredPredicateError violating CrySL rule for javax.crypto.Cipher.",org.cryptoapi.bench.brokencrypto.BrokenCryptoABMC2,BrokenCryptoABMC2,go
CipherSpec,"First parameter (with value 'DES/ECB/PKCS5Padding') should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256}. ConstraintError violating CrySL rule for javax.crypto.Cipher.",org.cryptoapi.bench.brokencrypto.BrokenCryptoABICase1,BrokenCryptoABICase1,go
CipherSpec,"Second parameter was not properly generated as generated Key. RequiredPredicateError violating CrySL rule for javax.crypto.Cipher.",org.cryptoapi.bench.brokencrypto.BrokenCryptoABICase1,BrokenCryptoABICase1,go
KeyGeneratorSpec,"First parameter (with value 'DES') should be any of {AES, HmacSHA256, HmacSHA384, HmacSHA512}. ConstraintError violating CrySL rule for javax.crypto.KeyGenerator.",org.cryptoapi.bench.brokencrypto.BrokenCryptoABICase1,BrokenCryptoABICase1,go
CipherSpec,"Second parameter was not properly generated as generated Key. RequiredPredicateError violating CrySL rule for javax.crypto.Cipher.",org.cryptoapi.bench.brokencrypto.BrokenCryptoABICase3,BrokenCryptoABICase3,go
KeyGeneratorSpec,"First parameter (with value 'RC4') should be any of {AES, HmacSHA256, HmacSHA384, HmacSHA512}. ConstraintError violating CrySL rule for javax.crypto.KeyGenerator.",org.cryptoapi.bench.brokencrypto.BrokenCryptoABICase3,BrokenCryptoABICase3,go
CipherSpec,"First parameter (with value 'RC4') should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256}. ConstraintError violating CrySL rule for javax.crypto.Cipher.",org.cryptoapi.bench.brokencrypto.BrokenCryptoABICase3,BrokenCryptoABICase3,go
KeyGeneratorSpec,"First parameter (with value 'Blowfish') should be any of {AES, HmacSHA256, HmacSHA384, HmacSHA512}. ConstraintError violating CrySL rule for javax.crypto.KeyGenerator.",org.cryptoapi.bench.brokencrypto.BrokenCryptoABICase12,BrokenCryptoABICase12,method1
CipherSpec,"Second parameter was not properly generated as generated Key. RequiredPredicateError violating CrySL rule for javax.crypto.Cipher.",org.cryptoapi.bench.brokencrypto.BrokenCryptoABICase12,BrokenCryptoABICase12,method1
CipherSpec,"First parameter (with value 'Blowfish') should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256}. ConstraintError violating CrySL rule for javax.crypto.Cipher.",org.cryptoapi.bench.brokencrypto.BrokenCryptoABICase12,BrokenCryptoABICase12,method1
KeyGeneratorSpec,"First parameter (with value 'DES') should be any of {AES, HmacSHA256, HmacSHA384, HmacSHA512}. ConstraintError violating CrySL rule for javax.crypto.KeyGenerator.",org.cryptoapi.bench.brokencrypto.Crypto6,Crypto6,encrypt
CipherSpec,"First parameter (with value 'DES') should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256}. ConstraintError violating CrySL rule for javax.crypto.Cipher.",org.cryptoapi.bench.brokencrypto.Crypto6,Crypto6,encrypt
CipherSpec,"Second parameter was not properly generated as generated Key. RequiredPredicateError violating CrySL rule for javax.crypto.Cipher.",org.cryptoapi.bench.brokencrypto.Crypto6,Crypto6,encrypt
CipherSpec,"Unexpected call to method doFinal on object of type javax.crypto.Cipher. Expect a call to one of the following methods init,updateAAD. TypestateError violating CrySL rule for javax.crypto.Cipher.",org.cryptoapi.bench.brokencrypto.Crypto6,Crypto6,encrypt
CipherSpec,"First parameter (with value 'DES') should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256}. ConstraintError violating CrySL rule for javax.crypto.Cipher.",org.cryptoapi.bench.brokencrypto.BrokenCryptoBBCase5,BrokenCryptoBBCase5,go
KeyGeneratorSpec,"First parameter (with value 'DES') should be any of {AES, HmacSHA256, HmacSHA384, HmacSHA512}. ConstraintError violating CrySL rule for javax.crypto.KeyGenerator.",org.cryptoapi.bench.brokencrypto.BrokenCryptoBBCase5,BrokenCryptoBBCase5,go
CipherSpec,"Second parameter was not properly generated as generated Key. RequiredPredicateError violating CrySL rule for javax.crypto.Cipher.",org.cryptoapi.bench.brokencrypto.BrokenCryptoBBCase5,BrokenCryptoBBCase5,go
KeyGeneratorSpec,"First parameter (with value 'DES') should be any of {AES, HmacSHA256, HmacSHA384, HmacSHA512}. ConstraintError violating CrySL rule for javax.crypto.KeyGenerator.",org.cryptoapi.bench.brokencrypto.BrokenCryptoBBCase1,BrokenCryptoBBCase1,go
CipherSpec,"Second parameter was not properly generated as generated Key. RequiredPredicateError violating CrySL rule for javax.crypto.Cipher.",org.cryptoapi.bench.brokencrypto.BrokenCryptoBBCase1,BrokenCryptoBBCase1,go
CipherSpec,"First parameter (with value 'DES/ECB/PKCS5Padding') should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256}. ConstraintError violating CrySL rule for javax.crypto.Cipher.",org.cryptoapi.bench.brokencrypto.BrokenCryptoBBCase1,BrokenCryptoBBCase1,go
CipherSpec,"First parameter (with value 'DES') should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256}. ConstraintError violating CrySL rule for javax.crypto.Cipher.",org.cryptoapi.bench.brokencrypto.BrokenCryptoABICase9,BrokenCryptoABICase9,go
CipherSpec,"Second parameter was not properly generated as generated Key. RequiredPredicateError violating CrySL rule for javax.crypto.Cipher.",org.cryptoapi.bench.brokencrypto.BrokenCryptoABICase9,BrokenCryptoABICase9,go
KeyGeneratorSpec,"First parameter (with value 'DES') should be any of {AES, HmacSHA256, HmacSHA384, HmacSHA512}. ConstraintError violating CrySL rule for javax.crypto.KeyGenerator.",org.cryptoapi.bench.brokencrypto.BrokenCryptoABICase9,BrokenCryptoABICase9,go
CipherSpec,"Second parameter was not properly generated as generated Key. RequiredPredicateError violating CrySL rule for javax.crypto.Cipher.",org.cryptoapi.bench.brokencrypto.BrokenCryptoBBCase3,BrokenCryptoBBCase3,go
CipherSpec,"First parameter (with value 'RC4') should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256}. ConstraintError violating CrySL rule for javax.crypto.Cipher.",org.cryptoapi.bench.brokencrypto.BrokenCryptoBBCase3,BrokenCryptoBBCase3,go
KeyGeneratorSpec,"First parameter (with value 'RC4') should be any of {AES, HmacSHA256, HmacSHA384, HmacSHA512}. ConstraintError violating CrySL rule for javax.crypto.KeyGenerator.",org.cryptoapi.bench.brokencrypto.BrokenCryptoBBCase3,BrokenCryptoBBCase3,go
KeyGeneratorSpec,"First parameter (with value 'RC2') should be any of {AES, HmacSHA256, HmacSHA384, HmacSHA512}. ConstraintError violating CrySL rule for javax.crypto.KeyGenerator.",org.cryptoapi.bench.brokencrypto.BrokenCryptoBBCase4,BrokenCryptoBBCase4,go
CipherSpec,"First parameter (with value 'RC2') should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256}. ConstraintError violating CrySL rule for javax.crypto.Cipher.",org.cryptoapi.bench.brokencrypto.BrokenCryptoBBCase4,BrokenCryptoBBCase4,go
CipherSpec,"Second parameter was not properly generated as generated Key. RequiredPredicateError violating CrySL rule for javax.crypto.Cipher.",org.cryptoapi.bench.brokencrypto.BrokenCryptoBBCase4,BrokenCryptoBBCase4,go
